name,age,zip
Latch,67,17540
Paquette,46,11410
Whitson,24,61570
Pumper,39,62310
Cronin,43,28140
Graham,65,30350
Shoemaker,58,87500
Brown,27,76133
Clem,33,68210
Ransom,63,79140
Fortune,42,11240
Jones,35,03700
Sheffield,45,28700
Wygant,46,33210
Canary,39,74350
Faley,31,09100
Woods,39,28190
Brann,45,74270
Rose,30,62810
Duckworth,51,54530
Russell,35,02110
Cooper,44,07150
Roscoe,64,04000
Graf,43,52130
Grossmann,53,25400
Frye,56,15130
Graham,31,47160
Marks,59,29920
Hansen,59,57670
Cunha,51,27130
Moran,40,66210
Jones,44,60590
Lazenby,51,02160
Taylor,39,91400
Bolt,60,11270
Zabinski,45,68150
Sweeney,33,75009
Young,43,32110
Stephens,54,70320
Merritt,56,08250
Cadena,54,22300
Langston,58,27430
Mattox,45,21160
Holden,50,55250
Hudson,51,77760
Mcclenon,46,08370
Drown,55,30121
Campbell,46,50520
Russey,40,56500
Townsend,52,21560
Ezell,48,80430
Angel,38,63740
Boyd,40,27930
Mccraken,30,53810
Dunn,27,25330
Spencer,40,52340
White,50,17420
Wilkerson,39,47330
Maldonado,56,25250
Seaton,48,83560
Martin,34,57905
Fuller,54,14140
Priest,62,14410
Reinhart,33,61210
Martinez,40,14130
Pitts,40,58270
Pfost,47,33350
Witten,45,52190
Mcgraw,50,13820
Ferreira,65,77480
Doney,49,60150
Wagoner,50,25270
Bland,53,50340
Isabella,37,51480
Tucker,48,79330
Watanabe,42,65120
Kim,42,67840
Wood,54,63500
Johnson,46,25270
Tinney,40,80360
Rutter,32,25240
Jones,42,58700
Barco,48,52140
Carpenter,38,68220
Ruivo,57,59400
Statler,33,41270
Milford,58,16400
Diederich,34,34520
Blue,45,81090
Baskin,30,45320
Payton,32,70190
Vail,49,85150
Weeks,38,35440
Calloway,34,30110
Reagan,65,44190
Myers,52,62113
Cobb,38,33540
Haney,37,73340
Kasack,47,51100
Colflesh,56,49430
Massie,32,49220
Rodriguez,39,28300
Hardy,53,10700
Capel,57,62182
Anderson,65,62380
Salas,51,39190
Mainor,39,02160
Ferguson,46,68260
Gregory,49,64390
Porter,35,08350
Trovillion,32,09350
Gauldin,41,91720
Groves,47,05000
Rice,44,78955
West,41,50570
Sadowski,40,57930
Sweney,39,47500
Garner,44,57340
Schmidt,53,70150
Sutton,42,70150
Lockett,39,79100
Sims,45,43200
Allen,43,60360
Osbourn,36,42110
Lee,45,38280
Elkins,40,59169
Fallon,42,21120
Butler,46,15500
Lazaro,52,59244
Wilson,41,80500
Carroll,16,10110
Pickle,30,21130
Healy,42,20152
Hamilton,51,24220
Pedro,54,21520
Wolfe,27,88400
Walters,53,52500
Cobb,33,95560
Muller,53,98733
Sherman,41,49490
Benavidez,54,52130
Flanigan,57,02270
Oliver,67,74890
Cross,49,51170
Yamamoto,41,03230
Bell,49,09000
Binger,36,08430
Wang,25,54330
Bechtold,34,59600
Teodoro,45,43700
Jones,45,64450
Rodrigue,45,30126
Mccarthy,57,13115
Blackwell,49,16250
Adams,35,14530
Church,39,74140
Medina,60,91290
Moore,24,76590
Stechlinski,44,08430
Hendricks,38,57590
Darnell,26,39200
Carter,49,80370
Charlesworth,46,77370
Bronk,55,77390
Curry,41,58400
Sundby,32,56130
Mangiafico,42,52170
Weimar,33,97434
Daniels,50,21380
Niles,58,04200
Sibbett,42,80640
Vang,56,53700
Lewis,47,62120
Linahan,49,60140
Sizemore,63,46190
Blackburn,59,56800
Hilliard,46,45310
Lopez,60,55320
Means,48,53300
Riley,59,63390
Ross,37,02860
King,34,57670
Townsend,50,11300
Morrison,58,17160
Wigington,56,36220
Chaddock,55,39380
Bartels,41,83830
Williams,52,41800
Ruiz,50,44730
Miller,45,69170
Donald,55,82360
Patterson,46,98789
Pereira,56,80110
Wright,50,32130
Bogle,56,59213
Londner,27,21210
Wilson,65,11300
